"player","position","game_num","week_num","gs","pass_cmp","pass_att","pass_cmp_perc","pass_yds","pass_td","pass_int","pass_rating","pass_sacked","pass_sacked_yds","pass_yds_per_att","pass_adj_yds_per_att","rush_att","rush_yds","rush_yds_per_att","rush_td","targets","rec","rec_yds","rec_yds_per_rec","rec_td","catch_pct","rec_yds_per_tgt","two_pt_md","all_td","scoring","sacks","tackles_solo","tackles_assists","tackles_combined","tackles_loss","qb_hits","fumbles","fumbles_lost","fumbles_forced","fumbles_rec","fumbles_rec_yds","fumbles_rec_td","offense","off_pct","defense","def_pct","special_teams","st_pct","status","reason","punt_ret","punt_ret_yds","punt_ret_yds_per_ret","punt_ret_td","kick_ret","kick_ret_yds","kick_ret_yds_per_ret","kick_ret_td","safety_md","year"
"Ameer Abdullah","RB","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","1","0","0","0","0","0.0%","0.00",NA,"0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"7","12%","0","0%","10","42%","0",NA,NA,NA,NA,NA,"0","0","0","0",NA,2022
"Ameer Abdullah","RB","2","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","1","1","23","23.00","0","100.0%","23.00",NA,"0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"14","21%","0","0%","3","14%","0",NA,NA,NA,NA,NA,"0","0","0","0",NA,2022
"Ameer Abdullah","RB","3","3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"0","0%","0","0%","4","17%","0",NA,NA,NA,NA,NA,"1","23","23.00","0",NA,2022
"Ameer Abdullah","RB","4","4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"1","1%","0","0%","16","50%","0",NA,NA,NA,NA,NA,"1","17","17.00","0",NA,2022
"Ameer Abdullah","RB","5","5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"0","0%","0","0%","12","43%","0",NA,NA,NA,NA,NA,"1","16","16.00","0",NA,2022
"Ameer Abdullah","RB","6","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","2","2","7","3.50","0","100.0%","3.50",NA,"0","0","0.0","3","0","3","0","0",NA,NA,NA,NA,NA,NA,"7","13%","0","0%","13","48%","0",NA,NA,NA,NA,NA,"1","17","17.00","0",NA,2022
"Ameer Abdullah","RB","7","8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","5","4","28","7.00","0","80.0%","5.60",NA,"0","0","0.0","0","1","1","0","0",NA,NA,NA,NA,NA,NA,"20","34%","0","0%","13","68%","0",NA,NA,NA,NA,NA,"1","20","20.00","0",NA,2022
"Ameer Abdullah","RB","8","9","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","3","1","8","8.00","0","33.3%","2.67",NA,"0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"14","24%","0","0%","14","52%","0",NA,NA,NA,NA,NA,"2","21","10.50","0",NA,2022
"Ameer Abdullah","RB","9","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","4","4","33","8.25","0","100.0%","8.25",NA,"0","0","0.0","0","2","2","0","0",NA,NA,NA,NA,NA,NA,"15","21%","0","0%","14","61%","0",NA,NA,NA,NA,NA,"3","86","28.67","0",NA,2022
"Ameer Abdullah","RB","10","11","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","4","3","5","1.67","0","75.0%","1.25",NA,"0","0","0.0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"11","17%","0","0%","15","52%","0",NA,NA,NA,NA,NA,"3","69","23.00","0",NA,2022
