"Player","Team","08/09"
"Le'Veon Bell","PIT",1
"Todd Gurley","LAR",2
"Antonio Brown","PIT",3
"David Johnson","ARI",4
"Ezekiel Elliott","DAL",5
"DeAndre Hopkins","HOU",6
"Alvin Kamara","NO",7
"Odell Beckham","NYG",8
"Julio Jones","ATL",9
"Kareem Hunt","KC",10
"Saquon Barkley","NYG",11
"Michael Thomas","NO",12
"Keenan Allen","LAC",13
"Davante Adams","GB",14
"Melvin Gordon","LAC",15
"A.J. Green","CIN",16
"Dalvin Cook","MIN",17
"Doug Baldwin","SEA",18
"Mike Evans","TB",19
"Leonard Fournette","JAC",20
"Rob Gronkowski","NE",21
"Devonta Freeman","ATL",22
"Travis Kelce","KC",23
"LeSean McCoy","BUF",24
"Adam Thielen","MIN",25
"Tyreek Hill","KC",26
"Jerick McKinnon","SF",27
"Zach Ertz","PHI",28
"Stefon Diggs","MIN",29
"Christian McCaffrey","CAR",30
"Jordan Howard","CHI",31
"Alshon Jeffery","PHI",32
"Kenyan Drake","MIA",33
"Josh Gordon","CLE",34
"Aaron Rodgers","GB",35
"Larry Fitzgerald","ARI",36
"Demaryius Thomas","DEN",37
"Amari Cooper","OAK",38
"Golden Tate","DET",39
"T.Y. Hilton","IND",40
"Joe Mixon","CIN",41
"JuJu Smith-Schuster","PIT",42
"Russell Wilson","SEA",43
"Tom Brady","NE",44
"Derrius Guice","WAS",45
"Allen Robinson","CHI",46
"Alex Collins","BAL",47
"Deshaun Watson","HOU",48
"Jarvis Landry","CLE",49
"Jay Ajayi","PHI",50
"Rashaad Penny","SEA",51
"Brandin Cooks","LAR",52
"Evan Engram","NYG",53
"Derrick Henry","TEN",54
"Mark Ingram","NO",55
"Robert Woods","LAR",56
"Marvin Jones","DET",57
"Dion Lewis","TEN",58
"Lamar Miller","HOU",59
"Drew Brees","NO",60
"Greg Olsen","CAR",61
"Ronald Jones","TB",62
"Michael Crabtree","BAL",63
"Cam Newton","CAR",64
"Sony Michel","NE",65
"Jimmy Graham","GB",66
"Tevin Coleman","ATL",67
"Jimmy Garoppolo","SF",68
"Corey Davis","TEN",69
"Rex Burkhead","NE",70
"Pierre Garcon","SF",71
"Carson Wentz","PHI",72
"Jamison Crowder","WAS",73
"Devin Funchess","CAR",74
"Chris Hogan","NE",75
"Kirk Cousins","MIN",76
"Aaron Jones","GB",77
"Marlon Mack","IND",78
"Will Fuller","HOU",79
"Matthew Stafford","DET",80
"Cooper Kupp","LAR",81
"Chris Thompson","WAS",82
"Kyle Rudolph","MIN",83
"Royce Freeman","DEN",84
"Delanie Walker","TEN",85
"Emmanuel Sanders","DEN",86
"Jared Goff","LAR",87
"Tarik Cohen","CHI",88
"Robby Anderson","NYJ",89
"Jordy Nelson","OAK",90
"Sammy Watkins","KC",91
"C.J. Anderson","CAR",92
"Marshawn Lynch","OAK",93
"Carlos Hyde","CLE",94
"Duke Johnson","CLE",95
"Marquise Goodwin","SF",96
"Sterling Shepard","NYG",97
"Trey Burton","CHI",98
"DeVante Parker","MIA",99
"Patrick Mahomes","KC",100
"Isaiah Crowell","NYJ",101
"Nelson Agholor","PHI",102
"Philip Rivers","LAC",103
"Ben Roethlisberger","PIT",104
"Dez Bryant","DAL",105
"Matt Ryan","ATL",106
"Julian Edelman","NE",107
"Jordan Reed","WAS",108
"Bilal Powell","NYJ",109
"George Kittle","SF",110
"Kerryon Johnson","DET",111
"Theo Riddick","DET",112
"Jameis Winston","TB",113
"O.J. Howard","TB",114
"Kelvin Benjamin","BUF",115
"DeSean Jackson","TB",116
"Dak Prescott","DAL",117
"Rishard Matthews","TEN",118
"Marqise Lee","JAC",119
"Randall Cobb","GB",120
"Tyler Eifert","CIN",121
"David Njoku","CLE",122
"Jack Doyle","IND",123
"Nick Chubb","CLE",124
"Jamaal Williams","GB",125
"Andrew Luck","IND",126
"Marcus Mariota","TEN",127
"Jacksonville","JAC",128
"Kenny Stills","MIA",129
"James White","NE",130
"Alex Smith","WAS",131
"Eric Ebron","IND",132
"Cameron Brate","TB",133
"Cameron Meredith","NO",134
"Philadelphia","PHI",135
"Minnesota","MIN",136
"Mohamed Sanu","ATL",137
"Josh Doctson","WAS",138
"Los Angeles","LAR",139
"Anthony Miller","CHI",140
"Jordan Matthews","NE",141
"Ted Ginn","NO",142
"D.J. Moore","CAR",143
"Denver","DEN",144
"LeGarrette Blount","DET",145
"Corey Clement","PHI",146
"Dede Westbrook","JAC",147
"D'Onta Foreman","HOU",148
"Ty Montgomery","GB",149
"Derek Carr","OAK",150
"Tyler Lockett","SEA",151
"Houston","HOU",152
